18-11-000049,Solar,240,5.99,2018-02-05,94.14,,10770.87, CA ,734,, SunRun ,Carval,1-7.18
18-11-000054,Solar,240,5.99,2018-02-26,94.14,,19717.34, CA ,711,, SunRun ,Carval,1-7.18
18-11-000060,Solar,240,5.99,2018-02-15,94.14,,17942.27, CA ,723,, SunRun ,Carval,1-7.18
18-11-000088,Solar+Storage,240,5.99,2018-02-22,94.14,,28183.87, CA ,751,, SunRun ,Carval,1-7.18
18-12-000035,Solar,120,2.99,2018-02-26,85.94,,30508.7, FL ,748,, SunRun ,Carval,1-7.18
18-12-000060,Solar,120,3.99,2018-02-26,89.04,,24439.59, CA ,702,, SunRun ,Carval,1-7.18
18-12-000062,Solar,240,3.99,2018-02-26,85.14,,22519.53, CA ,772,, Solcius ,Carval,1-7.18
18-12-000082,Solar,240,3.99,2018-02-28,85.14,,10073.76, CO ,741,, BlueRaven ,Carval,1-7.18
18-12-000115,Solar,120,3.99,2018-02-22,89.04,,12555.04, CA ,821,, SunRun ,Carval,1-7.18
18-12-000120,Solar,120,3.99,2018-02-21,89.04,,22605.81, CA ,736,, SunRun ,Carval,1-7.18
18-12-000126,Solar,240,3.99,2018-02-26,85.14,,20305.12, CO ,701,, BlueRaven ,Carval,1-7.18
18-13-000034,Solar,240,3.99,2018-02-21,85.14,,37035.9, CA ,738,, Solcius ,Carval,1-7.18
18-13-000038,Solar,240,3.99,2018-02-20,85.14,,29546.13, NJ ,824,, Complete ,Carval,1-7.18
18-13-000043,Solar,240,4.99,2018-02-08,89.54,,36617.38, CA ,786,, Velocity ,Carval,1-7.18
18-13-000050,Solar,240,3.99,2018-02-14,85.14,,20007.9, CA ,801,, Solcius ,Carval,1-7.18
18-13-000068,Solar,240,3.99,2018-02-27,85.14,,25678.22, CA ,729,, Solcius ,Carval,1-7.18
18-14-000025,Solar,240,3.99,2018-02-21,85.14,,20433.6, CA ,741,, Solcius ,Carval,1-7.18
18-14-000036,Solar,120,3.99,2018-02-13,89.04,,28047.08, CA ,820,,1,Carval,1-7.18
18-14-000053,Solar,240,3.99,2018-02-28,85.14,,10129.11, CO ,826,, BlueRaven ,Carval,1-7.18
18-14-000058,Solar,240,3.99,2018-02-26,85.14,,20987.01, CA ,720,, Solcius ,Carval,1-7.18
18-14-000075,Solar,240,5.99,2018-02-26,94.14,,31421.85, CA ,665,31.5, SunRun ,Carval,1-7.18
18-14-000080,Solar,240,3.99,2018-02-21,85.14,,25925.13, CA ,822,, Solcius ,Carval,1-7.18
18-14-000121,Solar,240,3.99,2018-02-26,85.14,,16176.6, CA ,801,, Solcius ,Carval,1-7.18
18-14-000124,Solar,240,3.99,2018-02-26,85.14,,25286.24, CA ,837,, Complete ,Carval,1-7.18
18-15-000057,Solar,240,5.99,2018-02-28,94.14,,19347.77, CA ,823,, SunRun ,Carval,1-7.18
18-15-000073,Solar,240,3.99,2018-02-23,85.14,,14075.45, CO ,833,, BlueRaven ,Carval,1-7.18
18-15-000108,Solar,120,3.99,2018-02-28,89.04,,23738.95, CA ,820,, SunRun ,Carval,1-7.18
18-15-000112,Solar,240,3.99,2018-02-28,85.14,,15209.41, CA ,671,2, Solcius ,Carval,1-7.18
18-16-000039,Solar,120,2.99,2018-02-09,85.94,,25352.3, FL ,829,, SunRun ,Carval,1-7.18
18-16-000069,Solar,240,4.99,2018-02-26,89.54,,28728.1, RI ,731,, BrightPlanet ,Carval,1-7.18
18-16-000075,Solar,240,3.99,2018-02-16,85.14,,28241.79, CO ,764,, BlueRaven ,Carval,1-7.18
18-16-000089,Solar,120,3.99,2018-02-21,89.04,,11358.97, CA ,837,, SunRun ,Carval,1-7.18
18-16-000098,Solar,240,3.99,2018-02-26,85.14,,26114.14, CO ,759,, BlueRaven ,Carval,1-7.18
18-16-000102,Solar,240,4.99,2018-02-27,89.54,,38711.72, TX ,768,, Trismart ,Carval,1-7.18
17-02-000006, Solar ,240,3.99,2018-03-26,85.14,,32317.44, SC ,755,, BlueRaven ,Carval,1-7.18
17-02-000019, Solar ,240,3.99,2018-03-06,85.14,,22322.01, SC ,664,, BlueRaven ,Carval,1-7.18
